rowguid,ModifiedDate
{B13BBC908DF14A77AF7EA0D2155E81F3},20171213 13:20:29.930000000
{04384F09CF4947549DBEA84AD9A81A15},20171213 13:20:29.977000000
{8D5E05F0886241A2A18C02C331F9EE4D},20171213 13:20:30.023000000
{B34358BF9DD64485BF08849F567320AD},20171213 13:20:30.070000000
{625ABC45F80544D7B5C0CD5A1DA5C114},20171213 13:20:30.100000000
{6D064632168E48CFBA9C65A3AEAE8115},20171213 13:20:30.150000000
{BA460B326CAB4B8DA13937F5E2596F16},20171213 13:20:30.197000000
{63AA715408D54186B5EF0FD7F54FDE87},20171213 13:20:30.243000000
{E97415BB13E44B01A2BC5F3C686CE649},20171213 13:20:30.290000000
{A99340D10FDB4FEDA93A68CF35D03F37},20171213 13:20:30.320000000
{B638739CE71A43F2BF822F7AFD659A5C},20171213 13:20:30.367000000
{12BD776D88BC445D9D55B5A28ABBF502},20171213 13:20:30.493000000
{170AA12030144487993B403C74819ECF},20171213 13:20:30.553000000
{9991A7C0F97A47349E79AADF6D7B672F},20171213 13:20:30.600000000
{BCFBA8D4944E4D2BA433E8FA9087EFF6},20171213 13:20:30.650000000
{BF960B01A6854A998CBD27F89E1175EF},20171213 13:20:30.680000000
{D7260FA21905498DAEE795B3D41EEF61},20171213 13:20:30.727000000
{74707D78778549EA8613F933154E8B93},20171213 13:20:30.773000000
{EE34DA35F68746E28257D2241465C161},20171213 13:20:30.820000000
{F0498047E0E0451D8602C8E3C24B484F},20171213 13:20:30.867000000
{B0D6C1D1ECF345D4AD6019D992AABD82},20171213 13:20:30.900000000
{13CEC9B41EBA4EDA98E3E8A601E5C775},20171213 13:20:30.947000000
{FC2A21C7463048E79D900DCCB8A09036},20171213 13:20:30.993000000
{1BFCF60E43904F2B82352EEAE7F24D33},20171213 13:20:31.040000000
{2B6F8A71C0CC4CC48ABB8406E7AC2AD6},20171213 13:20:31.070000000
{2A5785FCE01240309D2468C64978A04B},20171213 13:20:31.117000000
{D64D52035664427CA0734B7DB8073F1A},20171213 13:20:31.163000000
{9AD2FB64D48E41BBBCA7DC72F0C5FC73},20171213 13:20:31.210000000
{CB23CA3D838B495AA758FE5AE307D538},20171213 13:20:31.260000000
{E72B275D18DA494D95DD8E20BBE6C84B},20171213 13:20:31.320000000
{6D7F901DB59343A9BC4B862D0A0BF3A3},20171213 13:20:31.350000000
{9084269166FD498898CEC92A68ED87FA},20171213 13:20:31.400000000
{1D07190E4C914082841336E6BAF705C5},20171213 13:20:31.447000000
{767EB2547E3049C58FD694F21E3F52C4},20171213 13:20:31.493000000
{9FF9B7E0C2794D6E9336FF9CE7F4D84A},20171213 13:20:31.523000000
{C876455EDE384BACB4B46AB03BFEDECD},20171213 13:20:31.570000000
{98F464ED98384DFEA4009A31BA29D8DB},20171213 13:20:31.617000000
{A93B5B6806F8453A9B57C9E956000DE9},20171213 13:20:31.663000000
{D424E53214654BA989C920A12348E8C3},20171213 13:20:31.697000000
{F11CA21F881D445BA126D879267BD29C},20171213 13:20:31.743000000
{30486482CEE840D38571C409641532FB},20171213 13:20:31.790000000
{230B261164FE40F9A10A2C04A91B1EBE},20171213 13:20:31.837000000
{E3E6E837EEB14877ACEC2C49F36A0B69},20171213 13:20:31.867000000
{512197BAF6164AF6A228FA160C5D072C},20171213 13:20:31.913000000
{9445D76CF2DE418D8FAC50882EAB7C1B},20171213 13:20:31.977000000
{7B044FF87BC242F0B5622254C0030981},20171213 13:20:32.023000000
{A60F7B2DCB234311AAFBE3CBF1EBAC4A},20171213 13:20:32.053000000
{C869871A1688466684631D9E87EFBBBD},20171213 13:20:32.100000000
{AF98F7E983974DADA633DC144705DBAD},20171213 13:20:32.150000000
{F1BB3072A5D14C01A2511069061E6F53},20171213 13:20:32.197000000
{B872E25DBB93471A84FDD5D2D8F03676},20171213 13:20:32.243000000
{F7AE786FAF08453EB5E0E8B5E42D3150},20171213 13:20:32.273000000
{A1B55F80E5534C6E91F97138DB1F507C},20171213 13:20:32.320000000
{42B09CA2C4B94BC098C07A919CB5F927},20171213 13:20:32.367000000
{D1A619D442F84AF896936FA106C321AA},20171213 13:20:32.413000000
{39EFCC1961AE45A5B6EB53C3B5F303C2},20171213 13:20:32.460000000
{AD54724718CC4ABAAB08995A35D4C3E0},20171213 13:20:32.510000000
{6E564AE6F8C74AF39AEB4194B9D70949},20171213 13:20:32.540000000
{26B681B94FB644F09E6336AAD6BFAA98},20171213 13:20:32.587000000
{27803403533349B492BAA56D570EFCCD},20171213 13:20:32.633000000
{28F7D26E257642D5A06DD4F6DC037338},20171213 13:20:32.680000000
{268253E41B3F4264A013997804BD01E9},20171213 13:20:32.727000000
{82EFF53123A346F8A9BDF470470FD30A},20171213 13:20:32.773000000
{9A2AD0A292234CEAB9BB9B6480A11A6B},20171213 13:20:32.820000000
{AAE3BFF52E864358955E3BD11324F5C3},20171213 13:20:32.850000000
{DC696948F748471296C81E2C18935C25},20171213 13:20:32.900000000
{F684460ADCCF4478A4432186BCEDEAD4},20171213 13:20:32.947000000
{B5A475CD800D4A338450FF1FE410CF80},20171213 13:20:32.993000000
{015CDD2F3D014F1F97897D62AC9E9227},20171213 13:20:33.023000000
{19F874AB0F02408CAAC9570B0DF59918},20171213 13:20:33.070000000
{5804CC5D4AFA41F28BCB00617DFEEB8C},20171213 13:20:33.133000000
{FF4DF8A73ECC4D2484F5392ED977ADAC},20171213 13:20:33.163000000
{1CA2A38B16994F47AF10850427A8E5FA},20171213 13:20:33.210000000
{5843A9EB2A1444A5AF94537B14C3A53B},20171213 13:20:33.260000000
{1595C83662BD48C39AD361D58661402C},20171213 13:20:33.303000000
{69DE854D8A2146D5B58353141530904D},20171213 13:20:33.350000000
{CDEED28763BD4D42B15CEB1D844BEDD5},20171213 13:20:33.383000000
{45845F7D180A4F658B8E5E2F3AC35DA3},20171213 13:20:33.447000000
{948F32E02780488489D1619B96800FD2},20171213 13:20:33.477000000
{9AC67717665041DE9836337612F87D5B},20171213 13:20:33.523000000
{3BB274E068B74EF89F45FD070BDC56ED},20171213 13:20:33.570000000
{062A8CBC84D84F41AE53D739AEA15097},20171213 13:20:33.617000000
{7C0B4CEC2C7F4D49A50714BAB1B7AB0F},20171213 13:20:33.663000000
{13EBC32544D2424DAEA828BCCED42683},20171213 13:20:33.697000000
{3AAB1FFA956D4F79AAC0F240C1359D6F},20171213 13:20:33.743000000
{907397D44710449D83A9D9CA4021AA19},20171213 13:20:33.790000000
{11E04B5C4A3B4C3187CD93787C905539},20171213 13:20:33.820000000
{4D0C3900751C4A659269B00B3E085087},20171213 13:20:33.867000000
{C2EEE138D0A9436AAD970D2176E054F7},20171213 13:20:33.913000000
{C30D0250C2794ACEA46D8E8819115267},20171213 13:20:33.960000000
{D7595A2BA71F46CEA31AC4D360B3EF82},20171213 13:20:33.993000000
{E0683F43E0FA43A298927D2705A4C274},20171213 13:20:34.040000000
{013F18A79DC74369B4FF19D32E4F9FCE},20171213 13:20:34.087000000
{B0A924F4A67340C1B7233B9F1D5F0BAB},20171213 13:20:34.133000000
{E1A1BB058CE3405ABE3A0DE5D9C24F60},20171213 13:20:34.180000000
{8142FC2EAD40406B8EF16C6C8B1A2FFC},20171213 13:20:34.227000000
{B7F0E55A58634E1095169051311E0ACA},20171213 13:20:34.260000000
{EDCC91D85B5A4BE39C81AE9D04C9C0CA},20171213 13:20:34.303000000
{574ADE2594544F61B404CED7AADDA2AD},20171213 13:20:34.350000000
{59F972697B6144A9A67BBFC7895F6BD1},20171213 13:20:34.400000000
{A595BE1C1D8946329496BFFF5B1C3744},20171213 13:20:34.430000000
{882CCD944E4742DEBC575B5EFFEAAB95},20171213 13:20:34.493000000
{B6BE4DAF40D94115A5ABEF26C54E2793},20171213 13:20:34.540000000
{8CB98EBFE8AB4BFB96EE9EE5DEEFC2FD},20171213 13:20:34.587000000
{64674AFB890E4E89BBB3556B62CFC480},20171213 13:20:34.633000000
{9A224DCCC60E441C83AFF0F5BE37F19B},20171213 13:20:34.663000000
{C80A5EDB9D5040688BD633B852B88C2F},20171213 13:20:34.710000000
{D402856A52CA406D97E12995512E5EB3},20171213 13:20:34.760000000
{1FEAC6263D24475EBAEA4C881195D04D},20171213 13:20:34.803000000
{57A8FF1EFB0145FEAC8685B3EFE5C22F},20171213 13:20:34.850000000
{403DA7DE9ADC495690E7C94134B61AA2},20171213 13:20:34.883000000
{75C55015B545409DB26D19E07396C744},20171213 13:20:34.930000000
{053697DEC94340C1811005DD1CD0FA66},20171213 13:20:34.977000000
{838621255FE44DF5ADC099B5F19B033B},20171213 13:20:35.023000000
{BF26A118AF934CB486B3B534B5A114BC},20171213 13:20:35.053000000
{B0034524C69445E79C08A1CDEE4C3834},20171213 13:20:35.100000000
{675F14B66A72492389104C439AC56894},20171213 13:20:35.150000000
{80181EE831124F50B08C96FEB791E1CF},20171213 13:20:35.197000000
{14FA3AC7EF5247CFB50CD1B73690BAE8},20171213 13:20:35.243000000
{CA57FF4B2C2348DC99D2F87CE513D00F},20171213 13:20:35.290000000
{C90FC42CF5224FF9BE288E1A25D96F62},20171213 13:20:35.320000000
{00F1E0FAB6E84D7CA398C2F7D968F022},20171213 13:20:35.367000000
{5484F95BE00B432CA8E68489285E9141},20171213 13:20:35.413000000
{79C3CA93AD1C4D2FA0B4C149C57844EA},20171213 13:20:35.447000000
{F6F5F0201B934FE1A8152352FB9F9FB5},20171213 13:20:35.493000000
{E2980A6077204066BF480C389444D12D},20171213 13:20:35.540000000
{E5F56039CA634CF0B4E2FB3FD7810B4E},20171213 13:20:35.587000000
{15C18B7CAF2B4090BF730E3C94A8F63C},20171213 13:20:35.633000000
{DA989E893414423A99BCC8244BB3E051},20171213 13:20:35.680000000
{DDA953828CB643EBA98177BD5B51816A},20171213 13:20:35.743000000
{ED8D012F09794C868DA1222C28D91C92},20171213 13:20:35.803000000
{4EDC09F84CF94C46AAA45DC69B312733},20171213 13:20:35.837000000
{95E8F206024E4E69895FB484D03823D7},20171213 13:20:35.883000000
{4042AC9B1CED4C279B40BE177545EFAB},20171213 13:20:35.930000000
{8714E9A6747144A28BFAE01A6BF577C7},20171213 13:20:35.977000000
{2DD928357A4143A099176338F06F07B8},20171213 13:20:36.023000000
{16D3CB878B8C4791A875B80FC515BDA3},20171213 13:20:36.100000000
{F6055D8726D846E8BB08B36628130FB7},20171213 13:20:36.133000000
{BB1A6E8A32254A65B9B6AD2A936AFB43},20171213 13:20:36.180000000
{39A4303BCC0147A9B2B242E8EA2795C6},20171213 13:20:36.227000000
{8339DD383F064AF3867D13D4FF22B860},20171213 13:20:36.273000000
{6B8AAC10AA964C829CB771556EE9A9B4},20171213 13:20:36.320000000
{9D4D1A47AFD54C14B4049A7C8504307B},20171213 13:20:36.350000000
{45BA47D2CDD34B17B9171CA832516134},20171213 13:20:36.400000000
{D23FAC8D45FF4BF5A872AF55261E1BEC},20171213 13:20:36.447000000
{1CA76B3BFA0E4AEDB764366024FD7F2B},20171213 13:20:36.493000000
{92C4084F2AB348D0B8A029102DC167A2},20171213 13:20:36.523000000
{1EE0B66461E94DE2B4DD6D8060CB7F5F},20171213 13:20:36.570000000
{1BB81C5937234C2F9E651686732876EB},20171213 13:20:36.617000000
{4E494E3EF87D47EB8B3FFF5295BB3E72},20171213 13:20:36.663000000
{3D512178C4EB490EACCC5400822F0D5D},20171213 13:20:36.710000000
{8156E743A1304506962DAEC6D320AA4A},20171213 13:20:36.743000000
{C578AB51730E4EC38CA2E233783C9B58},20171213 13:20:36.790000000
{4F4B17F1FD5E4C37A8F82AF87355A7FB},20171213 13:20:36.837000000
{8154E29E377840D6BE1DB7DE2A186D7D},20171213 13:20:36.883000000
{A7DBE34FE4FF485CAA07AD0AFE2EE8B2},20171213 13:20:36.913000000
{9B442CD5E6464216BAB8667CF6751E9C},20171213 13:20:36.960000000
{82F6E54D1B9542558AA81189ECAC6EF0},20171213 13:20:37.010000000
{8924FBD8F9364749BFF313502FC55A9F},20171213 13:20:37.053000000
{72364A62DEF6494986A51B0D1B6151FF},20171213 13:20:37.117000000
{E3E2944CEA8D4F308BF749D13D149D9A},20171213 13:20:37.197000000
{3F9A4D0595A24BDABBB192CB8C6AABE0},20171213 13:20:37.587000000
{C94C99750CAF43D2A6AB05075611D89C},20171213 13:20:37.727000000
{77E7580459AE4333AB413297E3D9812A},20171213 13:20:37.790000000
{179FDFACE19F4C5D8F500C1DA54C7D51},20171213 13:20:37.850000000
{1D4475B70B4B4AFF9B2EA9F3D0ADCA48},20171213 13:20:37.913000000
{6ED3DF0AE85845008952961227BC5E57},20171213 13:20:37.960000000
{A8CFACCEF2E84F318A660FBA0BC4599C},20171213 13:20:38.023000000
{A99C4B370A3649DBB5F7FB843F04233D},20171213 13:20:38.070000000
{531A2D2BC4B143B9AC07DD69DBB64C4F},20171213 13:20:38.133000000
{32BE9103B6DA4544BCB0B9BADE5785F6},20171213 13:20:38.180000000
{D7D20616C4C743C89FB87EBA84AAD8E1},20171213 13:20:38.227000000
{76B248EECB7748E0948CD2CFDE3E1D31},20171213 13:20:38.290000000
{3A0E742D08C14034AE7154577EB2B092},20171213 13:20:38.337000000
{DE909360485D4FC59935BEF2074E7493},20171213 13:20:38.383000000
{D4B6BBE9DAF248878180F5F433842E9B},20171213 13:21:02.150000000
{0565AB526EAE468383662DD7818BC68F},20171213 13:21:02.197000000
{8BE2FA2F670C4358BD6829610F966F58},20171213 13:21:02.273000000
{F0E5E74F530B4232BCB299E204049BB0},20171213 13:21:02.303000000
{FC9D3815660F47B1A33AE3AF35234F46},20171213 13:21:02.337000000
{0419C89AB2E446A5A46EC8B72FE6839D},20171213 13:21:02.367000000
{C94DCC713C4848C2A505EAEC39B4692F},20171213 13:21:02.400000000
{83C0155B651543909765A08BFCE2A1AD},20171213 13:21:02.430000000
{23B56C4F49934B11AC1574BA8E8055D4},20171213 13:21:02.460000000
{6FC1DA1D1E8D41538DA662D9FD4818DA},20171213 13:21:02.493000000
{01925A04E0554E818CC6DB7098D61D8C},20171213 13:21:02.540000000
{F5A89F8CD9324B8F9063910DA4A63B57},20171213 13:21:02.553000000
{5E2D6A7D6B81407AA37714EE479D1107},20171213 13:21:02.600000000
{C05B33A7E0E74ABFAE6527244DC9C546},20171213 13:21:02.617000000
{323F8A4B869841AF9751BE846B715CAD},20171213 13:21:02.663000000
{E77EEFC2D5E848938F1BE50191750479},20171213 13:21:02.680000000
{2D343839261D461F887AE17777724EED},20171213 13:21:02.710000000
{BD90EE55C7F74C91A04F033CE4128C8E},20171213 13:21:02.743000000
{DF2CE1B8D25544828E35E395516AF99D},20171213 13:21:02.773000000
{3C37A4CF7D8D4171A6F59F7554BE7B6B},20171213 13:21:02.790000000
{6E363E2251684F6584C0A85A026ED272},20171213 13:21:02.837000000
{D0D01F6C0B3C4FA2B81B770205239662},20171213 13:21:02.850000000
{CE7BCF1557CA4B2F86F7B0E2AA9481A4},20171213 13:21:02.900000000
{0809A2162E0F4CA0BDC3EF5E7397E749},20171213 13:21:02.913000000
{07F8E70850314307BBF39820BA05E887},20171213 13:21:02.960000000
{89D197464AE3400DBA97181B5AAED5AE},20171213 13:21:02.977000000
{95FBFE7712A64AE5939C0A6A151DD1A5},20171213 13:21:03.010000000
{D80395FE7E504E7B85D01420AAA8E184},20171213 13:21:03.040000000
{8F88E3FA42DD440D94B7F2371370278C},20171213 13:21:03.070000000
{C32C488CB5F14C2CB1B4A659134FB035},20171213 13:21:03.087000000
{99AC45AFE77C45E9B0E9151144FF8211},20171213 13:21:03.133000000
{E542A3B3454846B0A054102E9E2E42B3},20171213 13:21:03.150000000
{8F1700E56E3D45A6854373B3B3C9CC3C},20171213 13:21:03.197000000
{1020EC8E37D1416C89373D40001DE808},20171213 13:21:03.210000000
{F8E133823F2A461AB5519EACEB86745B},20171213 13:21:03.260000000
{2A570812D67B49B586BC87ADF8347E25},20171213 13:21:03.273000000
{0F06B7D6BE2C409998539495FC280853},20171213 13:21:03.320000000
{3DC17F76787348B48DB4D02E1FB78FEE},20171213 13:21:03.337000000
{A0DE791863184739A511E3BB9E7EE3DD},20171213 13:21:03.383000000
{2B6AB4CCED1347AAA06D2D8580E5240D},20171213 13:21:03.400000000
{C4F5A22087BC4AA8814776601F2F1D6F},20171213 13:21:03.447000000
{EDA2D97660B448A1A851932CF5694BF9},20171213 13:21:03.460000000
{4173AF10BB414988BA30409349F205D7},20171213 13:21:03.493000000
{3C3C9871CAC446A992F9EB3B12CF9316},20171213 13:21:03.523000000
{23C221F9374A41B98DCCA365359FC138},20171213 13:21:03.553000000
{3C1273718D3844D48C367F15DB0DF569},20171213 13:21:03.570000000
{E18443DF17D24CBE94AAE618BA29684A},20171213 13:21:03.617000000
{5BB86D0AAD1843BAA6EC0BD02F751FC7},20171213 13:21:03.633000000
{C9545E1190E74D92AD3CC3502ABB4A98},20171213 13:21:03.663000000
{DD47D5FB96954F5BB3D754E4063F552D},20171213 13:21:03.697000000
{25087009CC3B4C9ABCDFB6C4FDA17FAE},20171213 13:21:03.743000000
{9B8F3F0700ED4779832596E5FBE10917},20171213 13:21:03.760000000
{13F75E9CCEA04A7EA3B509E19A27A572},20171213 13:21:03.803000000
{1014D2F0628942A8B3FF246E0F644D7A},20171213 13:21:03.820000000
{CF3166BC6D7F4FA0B354E3496116E68F},20171213 13:21:03.850000000
{D9457BF506D74F139878253C93E3B20F},20171213 13:21:03.883000000
{E6B7300EEA004BCD895799273219C3E4},20171213 13:21:03.913000000
{BD18CD7FFAA247BDA0E37123697ADAE5},20171213 13:21:03.930000000
{06800883B6AB4A30B2EC1F7191FDAA52},20171213 13:21:03.977000000
{6094734652194B9081242B8E0AEDC0A1},20171213 13:21:03.993000000
{1F89ADF3793E495392617688059934B1},20171213 13:21:04.040000000
{01A2A0D5DA2A4160965C796AC27354C9},20171213 13:21:04.053000000
{C1893A3212AD4EB29E08E771905879A8},20171213 13:21:04.100000000
{0E59FEEEADCB4D25A78112259FC0A149},20171213 13:21:04.117000000
{E10E49DC219F4FBFB9595E324FE793CF},20171213 13:21:04.150000000
{3811D2F54C1C481D8CD359FE3BAC9118},20171213 13:21:04.180000000
{14E1B6D1BF2A4B1EA81C44929CA09708},20171213 13:21:04.210000000
{1CD1BDD8145E433C9D9EF937DC0D5698},20171213 13:21:04.243000000
{4B61BFC496184A49B94B4B75EC509DFA},20171213 13:21:04.273000000
{7798951C49534BB791EEDC7C99B7A399},20171213 13:21:04.290000000
{0E6F69A437874898ABAB0AA48D17190E},20171213 13:21:04.337000000
{9919FE482ED64F55885A5F9D867A5251},20171213 13:21:04.350000000
{BC981B20490A4000B3EE34EEF8B0797E},20171213 13:21:04.400000000
{9B85399DB65F4519B7CD526A44C6CA5E},20171213 13:21:04.413000000
{8CA38954C3E04A419FB13F24D6AEA483},20171213 13:21:04.447000000
{0D59A5AC90764FF78D474BFFF42A0DE3},20171213 13:21:04.477000000
{27CB7BF6731F4FCCBBFC62C9FFF12ABC},20171213 13:21:04.510000000
{7C10CC88ECA6405289466AF830F2D21E},20171213 13:21:04.523000000
